num_cars,frame,num_cars_time,colours,colours_time,car_type,car_type_time,,,Sedan,Hatchback,black,silver,red,white,blue,black,silver,red,white,blue,Q1_Time,Q2_time,Q3_time,black,silver,red,white,blue
0,169,0.207645,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.398485,1.055863,1.055871,0,0,0,0,0
0,170,0.217072,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.62932,0.907764,0.907775,0,0,0,0,0
0,171,0.211236,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.579002,0.951445,0.951452,0,0,0,0,0
0,172,0.209835,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.516672,1.281586,1.281594,0,0,0,0,0
0,173,0.212682,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.444371,0.718655,0.718663,0,0,0,0,0
0,174,0.212544,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.398223,0.623222,0.62323,0,0,0,0,0
0,175,0.210858,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.464589,0.780066,0.780074,0,0,0,0,0
0,176,0.209497,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.479068,1.08197,1.081976,0,0,0,0,0
0,177,0.216032,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.431473,0.689967,0.689972,0,0,0,0,0
0,178,0.209668,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.361798,0.566233,0.566238,0,0,0,0,0
0,179,0.211175,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.344729,0.819534,0.819541,0,0,0,0,0
0,180,0.215487,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.39737,0.53981,0.539815,0,0,0,0,0
0,181,0.208249,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.268369,0.451126,0.451131,0,0,0,0,0
0,182,0.223867,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.409055,0.868548,0.868555,0,0,0,0,0
